source,source_type,target,target_type,weight
高脂血症,1,高血压,1,4921
冠心病,1,高脂血症,1,4669
冠心病,1,高血压,1,4648
动脉粥样硬化,1,高脂血症,1,2936
脑血管病,1,高脂血症,1,2444
糖尿病,1,高血压,1,2384
精神和行为障碍,1,脑血管病,1,2127
糖尿病,1,高脂血症,1,1916
脑血管病,1,高血压,1,1689
冠心病,1,糖尿病,1,1672
动脉粥样硬化,1,高血压,1,1569
动脉粥样硬化,1,脑血管病,1,1546
精神和行为障碍,1,高血压,1,1323
精神和行为障碍,1,高脂血症,1,1285
冠心病,1,动脉粥样硬化,1,1084
冠心病,1,脑血管病,1,1073
动脉粥样硬化,1,糖尿病,1,915
冠心病,1,精神和行为障碍,1,846
糖尿病,1,骨质疏松症,1,804
糖尿病,1,脑血管病,1,731
冠心病,1,心律失常,1,648
动脉粥样硬化,1,精神和行为障碍,1,644
心律失常,1,高血压,1,625
骨质疏松症,1,高血压,1,605
呼吸道感染,1,支气管炎,1,602
代谢紊乱,1,高血压,1,584
代谢紊乱,1,高脂血症,1,583
骨质疏松症,1,高脂血症,1,550
冠心病,1,骨质疏松症,1,489
精神和行为障碍,1,糖尿病,1,486
头晕,0,脑血管病,1,463
代谢紊乱,1,冠心病,1,429
心律失常,1,高脂血症,1,424
低血糖症,1,糖尿病,1,418
支气管炎,1,高血压,1,415
支气管炎,1,糖尿病,1,411
胃炎,1,食管炎,1,406
动脉硬化,1,高脂血症,1,373
关节炎,1,骨质疏松症,1,371
糖尿病,1,肾小球疾病,1,342
神经官能症,1,精神和行为障碍,1,338
冠心病,1,支气管炎,1,337
消化不良,0,胃炎,1,323
代谢紊乱,1,糖尿病,1,311
代谢紊乱,1,脑血管病,1,309
消化性溃疡,1,胃炎,1,304
便秘,0,高血压,1,296
头晕,0,精神和行为障碍,1,294
头晕,0,高脂血症,1,280
支气管炎,1,高脂血症,1,272
周围神经病,1,脑血管病,1,270
头晕,0,高血压,1,269
便秘,0,冠心病,1,260
动脉粥样硬化,1,骨质疏松症,1,260
呼吸道感染,1,高血压,1,254
动脉硬化,1,糖尿病,1,253
呼吸道感染,1,糖尿病,1,251
干眼症,1,结膜炎,1,247
呼吸道感染,1,咽炎,1,245
便秘,0,糖尿病,1,241
脑血管病,1,骨质疏松症,1,241
冠心病,1,动脉硬化,1,220
冠心病,1,呼吸道感染,1,217
代谢紊乱,1,动脉粥样硬化,1,216
便秘,0,高脂血症,1,214
消化性溃疡,1,食管炎,1,214
便秘,0,精神和行为障碍,1,211
呼吸道感染,1,高脂血症,1,202
动脉硬化,1,高血压,1,194
精神和行为障碍,1,骨质疏松症,1,188
前列腺增生,1,高血压,1,182
周围神经病,1,高脂血症,1,180
胸闷,0,高血压,1,179
关节炎,1,腰椎退行性病变,1,177
周围神经病,1,精神和行为障碍,1,177
甲状腺功能减退症,1,糖尿病,1,176
胃炎,1,高血压,1,173
帕金森病,1,精神和行为障碍,1,164
糖尿病,1,静脉曲张,0,162
动脉粥样硬化,1,头晕,0,162
便秘,0,脑血管病,1,160
冠心病,1,前列腺增生,1,156
前列腺增生,1,尿路感染,1,155
消化不良,0,食管炎,1,154
咽炎,1,支气管炎,1,153
低血糖症,1,高血压,1,152
帕金森病,1,脑血管病,1,150
消化不良,0,胃肠功能紊乱,1,149
支气管炎,1,精神和行为障碍,1,149
胃炎,1,胃肠功能紊乱,1,148
支气管炎,1,骨质疏松症,1,147
肾功能不全,1,高血压,1,147
头痛,0,精神和行为障碍,1,146
叶酸缺乏,1,高脂血症,1,145
支气管炎,1,脑血管病,1,145
发热,0,呼吸道感染,1,144
关节痛,0,糖尿病,1,144
支气管炎,1,肾功能不全,1,144
肾小球疾病,1,高血压,1,144
代谢紊乱,1,肾功能不全,1,143
糖尿病,1,肾功能不全,1,142
维生素缺乏,1,高脂血症,1,141
冠心病,1,胃炎,1,140
代谢紊乱,1,精神和行为障碍,1,138
肠道菌群失调,1,胃炎,1,133
代谢紊乱,1,支气管炎,1,133
肠道菌群失调,1,胃肠功能紊乱,1,133
头痛,0,脑血管病,1,132
周围神经病,1,高血压,1,130
冠心病,1,头晕,0,129
动脉粥样硬化,1,支气管炎,1,129
维生素缺乏,1,脑血管病,1,129
甲状腺功能减退症,1,高脂血症,1,129
神经官能症,1,脑血管病,1,128
消化不良,0,肠道菌群失调,1,126
叶酸缺乏,1,脑血管病,1,126
前列腺增生,1,高脂血症,1,124
糖尿病,1,胃炎,1,123
PCI术后,1,冠心病,1,122
心律失常,1,精神和行为障碍,1,122
支气管哮喘,1,支气管炎,1,121
甲状腺功能减退症,1,高血压,1,120
冠心病,1,甲状腺功能减退症,1,120
胃炎,1,高脂血症,1,119
糖尿病,1,维生素缺乏,1,118
动脉粥样硬化,1,周围神经病,1,117
精神和行为障碍,1,维生素缺乏,1,116
代谢紊乱,1,骨质疏松症,1,114
维生素缺乏,1,高血压,1,113
静脉曲张,0,高血压,1,111
关节痛,0,高血压,1,109
冠心病,1,胸闷,0,108
癌症,1,肺癌,1,108
腰椎退行性病变,1,骨质疏松症,1,108
前列腺增生,1,糖尿病,1,107
低血糖症,1,高脂血症,1,105
消化不良,0,消化性溃疡,1,104
支气管炎,1,鼻炎,1,101
呼吸道感染,1,精神和行为障碍,1,100
冠心病,1,维生素缺乏,1,99
PCI术后,1,高脂血症,1,98
脑卒中,1,脑血管病,1,98
胃肠功能紊乱,1,食管炎,1,97
肾小球疾病,1,高脂血症,1,97
低血糖症,1,冠心病,1,96
癫痫,1,精神和行为障碍,1,96
干眼症,1,眼底病,1,95
便秘,0,胃炎,1,94
叶酸缺乏,1,高血压,1,94
便秘,0,支气管炎,1,93
脑动脉硬化,1,脑血管病,1,93
周围神经病,1,糖尿病,1,92
冠心病,1,周围神经病,1,92
前列腺增生,1,脑血管病,1,91
冠心病,1,肾小球疾病,1,91
心律失常,1,脑血管病,1,91
胸闷,0,高脂血症,1,89
冠心病,1,静脉曲张,0,89
白内障,1,眼底病,1,89
关节炎,1,高血压,1,89
头痛,0,高血压,1,85
癫痫,1,脑血管病,1,85
消化不良,0,腹胀,0,84
胸闷,0,血瘀证,1,84
便秘,0,呼吸道感染,1,84
眼底病,1,结膜炎,1,84
胃炎,1,骨质疏松症,1,84
呼吸道感染,1,鼻炎,1,83
动脉粥样硬化,1,叶酸缺乏,1,82
支气管炎,1,胃炎,1,82
静脉曲张,0,高脂血症,1,80
呼吸道感染,1,骨质疏松症,1,80
糖尿病,1,结膜炎,1,80
关节痛,0,冠心病,1,79
甲状腺功能减退症,1,骨质疏松症,1,79
前列腺增生,1,支气管炎,1,79
冠心病,1,叶酸缺乏,1,77
呼吸道感染,1,脑血管病,1,77
关节炎,1,消化性溃疡,1,77
脑血管病,1,血瘀证,1,77
白内障,1,结膜炎,1,76
肾功能不全,1,肾小球疾病,1,75
脑血管病,1,静脉曲张,0,74
肾功能不全,1,高脂血症,1,74
消化性溃疡,1,高血压,1,74
头痛,0,高脂血症,1,73
慢性阻塞性肺疾病,1,支气管炎,1,73
精神和行为障碍,1,胃炎,1,73
干眼症,1,白内障,1,73
胃炎,1,腹胀,0,72
动脉粥样硬化,1,维生素缺乏,1,72
肠道菌群失调,1,食管炎,1,71
冠心病,1,肾功能不全,1,71
呼吸道感染,1,咳嗽,0,70
关节痛,0,骨质疏松症,1,69
脑动脉硬化,1,高脂血症,1,69
便秘,0,消化不良,0,68
肝功能异常,1,高脂血症,1,68
代谢紊乱,1,叶酸缺乏,1,68
支气管炎,1,肾小球疾病,1,67
代谢紊乱,1,肾小球疾病,1,67
头晕,0,头痛,0,66
便秘,0,骨质疏松症,1,66
心律失常,1,糖尿病,1,66
动脉硬化,1,脑血管病,1,66
关节痛,0,高脂血症,1,65
冠心病,1,消化不良,0,65
动脉粥样硬化,1,心律失常,1,65
精神和行为障碍,1,静脉曲张,0,64
叶酸缺乏,1,精神和行为障碍,1,62
动脉粥样硬化,1,呼吸道感染,1,62
冠心病,1,肝功能异常,1,62
肝功能异常,1,高血压,1,62
头晕,0,糖尿病,1,61
便秘,0,动脉粥样硬化,1,61
关节痛,0,支气管炎,1,61
消化不良,0,高血压,1,61
肾小球疾病,1,脑血管病,1,60
动脉粥样硬化,1,甲状腺功能减退症,1,60
周围神经病,1,眼底病,1,60
帕金森病,1,高血压,1,60
肝损害,1,胃炎,1,58
脑卒中,1,高脂血症,1,58
结膜炎,1,高血压,1,58
关节炎,1,冠心病,1,58
PCI术后,1,高血压,1,58
消化不良,0,高脂血症,1,57
前列腺增生,1,精神和行为障碍,1,57
周围神经病,1,骨质疏松症,1,56
冠心病,1,支气管哮喘,1,56
消化性溃疡,1,糖尿病,1,56
动脉粥样硬化,1,肾小球疾病,1,56
水肿,0,高血压,1,55
糖尿病,1,肝损害,1,55
腰痛,0,高血压,1,54
便秘,0,肠道菌群失调,1,54
动脉硬化,1,骨质疏松症,1,54
肾小球疾病,1,骨质疏松症,1,54
维生素缺乏,1,骨质疏松症,1,54
消化性溃疡,1,高脂血症,1,54
冠心病,1,消化性溃疡,1,54
低血糖症,1,骨质疏松症,1,54
静脉曲张,0,骨质疏松症,1,53
关节痛,0,血瘀证,1,53
胸痛,0,高血压,1,53
眩晕,0,脑血管病,1,53
白内障,1,糖尿病,1,53
关节炎,1,高脂血症,1,53
肾功能不全,1,脑血管病,1,53
水肿,0,静脉曲张,0,52
水肿,0,糖尿病,1,52
胃炎,1,脑血管病,1,52
糖尿病,1,腰痛,0,51
皮炎,1,糖尿病,1,51
叶酸缺乏,1,糖尿病,1,51
冠心病,1,头痛,0,50
咽炎,1,鼻炎,1,50
食管炎,1,高脂血症,1,50
消化性溃疡,1,肠道菌群失调,1,50
胃炎,1,腹痛,0,49
干眼症,1,白内障术后,1,49
代谢紊乱,1,周围神经病,1,49
代谢紊乱,1,前列腺增生,1,49
呼吸道感染,1,胃炎,1,49
眼底病,1,糖尿病,1,49
消化性溃疡,1,胃肠功能紊乱,1,49
消化性溃疡,1,骨质疏松症,1,48
冠心病,1,贫血,1,48
关节炎,1,支气管炎,1,48
肾功能不全,1,骨质疏松症,1,48
前列腺增生,1,肾功能不全,1,48
食管炎,1,高血压,1,47
前列腺增生,1,癌症,1,47
支气管哮喘,1,高血压,1,47
糖尿病,1,食管炎,1,47
冠心病,1,血瘀证,1,47
周围神经病,1,维生素缺乏,1,47
眩晕,0,高血压,1,46
精神和行为障碍,1,胸闷,0,46
贫血,1,高血压,1,46
代谢紊乱,1,贫血,1,46
白内障,1,高血压,1,46
水肿,0,高脂血症,1,45
动脉粥样硬化,1,肾功能不全,1,45
消化不良,0,糖尿病,1,44
关节痛,0,精神和行为障碍,1,44
咳嗽,0,支气管炎,1,44
癫痫,1,高脂血症,1,44
动脉粥样硬化,1,胃炎,1,44
精神和行为障碍,1,脑卒中,1,43
水肿,0,脑血管病,1,42
动脉粥样硬化,1,胸闷,0,42
前列腺增生,1,骨质疏松症,1,42
低血糖症,1,动脉粥样硬化,1,42
叶酸缺乏,1,周围神经病,1,42
皮炎,1,高血压,1,42
冠心病,1,食管炎,1,42
头晕,0,神经官能症,1,41
便秘,0,帕金森病,1,41
心律失常,1,胸闷,0,41
贫血,1,高脂血症,1,41
呼吸道感染,1,肺部感染,1,41
关节炎,1,周围神经病,1,40
动脉硬化,1,精神和行为障碍,1,40
关节炎,1,糖尿病,1,40
干眼症,1,糖尿病,1,40
关节痛,0,呼吸道感染,1,39
咽炎,1,糖尿病,1,39
冠心病,1,咽炎,1,39
糖尿病,1,胃肠功能紊乱,1,39
代谢紊乱,1,维生素缺乏,1,39
关节痛,0,脑血管病,1,38
代谢紊乱,1,便秘,0,38
冠心病,1,水肿,0,38
精神和行为障碍,1,脑动脉硬化,1,38
眼底病,1,高血压,1,38
水肿,0,精神和行为障碍,1,37
胸闷,0,脑血管病,1,37
关节炎,1,胃炎,1,37
肝损害,1,高血压,1,37
腹胀,0,食管炎,1,36
肠道菌群失调,1,腹痛,0,36
干眼症,1,高血压,1,36
周围神经病,1,腰椎退行性病变,1,36
冠心病,1,皮炎,1,36
头晕,0,血瘀证,1,35
腰痛,0,骨质疏松症,1,35
支气管炎,1,消化不良,0,35
皮炎,1,高脂血症,1,35
尿路感染,1,癌症,1,35
支气管炎,1,甲状腺功能减退症,1,35
肾功能不全,1,贫血,1,35
咳嗽,0,咽炎,1,34
消化不良,0,肝损害,1,34
肝损害,1,食管炎,1,34
支气管炎,1,维生素缺乏,1,34
糖尿病,1,贫血,1,34
咽炎,1,高血压,1,34
脑卒中,1,高血压,1,34
冠心病,1,结膜炎,1,34
糖尿病,1,胸闷,0,33
代谢紊乱,1,头晕,0,33
甲状腺功能减退症,1,精神和行为障碍,1,33
肝损害,1,高脂血症,1,33
支气管哮喘,1,精神和行为障碍,1,33
头晕,0,心律失常,1,32
发热,0,肺部感染,1,32
咳嗽,0,高血压,1,32
冠心病,1,腰痛,0,32
动脉粥样硬化,1,头痛,0,32
冠心病,1,咳嗽,0,32
呼吸道感染,1,支气管哮喘,1,32
支气管炎,1,消化性溃疡,1,32
冠心病,1,肝损害,1,32
血瘀证,1,高血压,1,32
脑血管病,1,颈椎退行性疾病,1,32
咽炎,1,高脂血症,1,32
湿疹,1,皮肤感染,1,32
脑动脉硬化,1,高血压,1,32
神经官能症,1,高脂血症,1,32
便秘,0,心律失常,1,31
呼吸道感染,1,消化不良,0,31
帕金森病,1,高脂血症,1,31
低血糖症,1,脑血管病,1,31
冠心病,1,白内障,1,31
脂肪肝,1,高血压,1,31
消化不良,0,腹痛,0,30
便秘,0,前列腺增生,1,30
白内障术后,1,结膜炎,1,30
消化性溃疡,1,脑血管病,1,30
支气管炎,1,肺部感染,1,30
精神和行为障碍,1,血瘀证,1,30
结膜炎,1,高脂血症,1,30
便秘,0,消化性溃疡,1,29
便秘,0,食管炎,1,29
关节炎,1,精神和行为障碍,1,29
癌症,1,骨质疏松症,1,29
冠心病,1,鼻炎,1,29
尿路感染,1,糖尿病,1,29
神经痛,1,精神和行为障碍,1,29
代谢紊乱,1,动脉硬化,1,29
肝功能异常,1,脑血管病,1,29
关节炎,1,脑血管病,1,29
水肿,0,骨质疏松症,1,28
眩晕,0,血瘀证,1,28
头痛,0,糖尿病,1,28
多系统萎缩,1,精神和行为障碍,1,28
消化性溃疡,1,肝损害,1,28
周围神经病,1,干眼症,1,28
颈椎退行性疾病,1,高脂血症,1,28
精神和行为障碍,1,肾小球疾病,1,28
高血压,1,鼻炎,1,28
消化不良,0,精神和行为障碍,1,27
支气管炎,1,静脉曲张,0,27
低血糖症,1,便秘,0,27
动脉粥样硬化,1,贫血,1,27
呼吸道感染,1,维生素缺乏,1,27
代谢紊乱,1,呼吸道感染,1,27
低血糖症,1,精神和行为障碍,1,27
甲状腺功能减退症,1,脑血管病,1,27
肝损害,1,肠道菌群失调,1,27
叶酸缺乏,1,骨质疏松症,1,27
咳嗽,0,高脂血症,1,26
消化不良,0,脑血管病,1,26
腰痛,0,高脂血症,1,26
胃肠功能紊乱,1,腹痛,0,26
冠心病,1,胸痛,0,26
动脉粥样硬化,1,静脉曲张,0,26
肝损害,1,胃肠功能紊乱,1,26
代谢紊乱,1,胃炎,1,26
呼吸道感染,1,心律失常,1,26
支气管哮喘,1,鼻炎,1,26
代谢紊乱,1,甲状腺功能减退症,1,26
关节痛,0,动脉粥样硬化,1,25
胸痛,0,高脂血症,1,25
冠心病,1,眩晕,0,25
周围神经病,1,支气管炎,1,25
脂肪肝,1,高脂血症,1,25
动脉粥样硬化,1,神经官能症,1,25
多系统萎缩,1,脑血管病,1,25
动脉粥样硬化,1,癫痫,1,25
关节炎,1,动脉粥样硬化,1,25
便秘,0,关节痛,0,24
头晕,0,脑动脉硬化,1,24
动脉粥样硬化,1,水肿,0,24
代谢紊乱,1,关节炎,1,24
代谢紊乱,1,尿路感染,1,24
动脉粥样硬化,1,食管炎,1,24
叶酸缺乏,1,维生素缺乏,1,24
贫血,1,骨质疏松症,1,24
PCI术后,1,糖尿病,1,24
神经痛,1,脑血管病,1,24
消化性溃疡,1,精神和行为障碍,1,24
周围神经病,1,神经痛,1,24
腹痛,0,食管炎,1,23
眩晕,0,高脂血症,1,23
胃肠功能紊乱,1,腹胀,0,23
食管炎,1,骨质疏松症,1,23
前列腺增生,1,动脉粥样硬化,1,23
皮炎,1,皮肤感染,1,23
白内障,1,高脂血症,1,23
脑血管病,1,贫血,1,23
便秘,0,腹痛,0,22
眩晕,0,精神和行为障碍,1,22
周围神经病,1,头晕,0,22
关节炎,1,静脉曲张,0,22
消化性溃疡,1,腹胀,0,22
肠道菌群失调,1,腹胀,0,22
神经官能症,1,高血压,1,22
癫痫,1,高血压,1,22
动脉粥样硬化,1,脑卒中,1,22
糖尿病,1,肝功能异常,1,22
颈椎退行性疾病,1,高血压,1,22
代谢紊乱,1,心律失常,1,22
支气管炎,1,贫血,1,22
头晕,0,胸闷,0,21
腰痛,0,颈椎退行性疾病,1,21
便秘,0,胃肠功能紊乱,1,21
便秘,0,维生素缺乏,1,21
代谢紊乱,1,消化不良,0,21
呼吸道感染,1,头痛,0,21
代谢紊乱,1,关节痛,0,21
白内障,1,白内障术后,1,21
精神和行为障碍,1,肾功能不全,1,21
动脉硬化,1,呼吸道感染,1,21
前列腺增生,1,肾小球疾病,1,21
帕金森病,1,骨质疏松症,1,21
皮炎,1,脑血管病,1,21
关节痛,0,胃炎,1,20
关节炎,1,腰痛,0,20
肾小球疾病,1,静脉曲张,0,20
心律失常,1,血瘀证,1,20
关节炎,1,呼吸道感染,1,20
关节炎,1,叶酸缺乏,1,20
低血糖症,1,肾小球疾病,1,20
