source,target,weight
高血压,高脂血症,2440
高脂血症,高血压,2440
冠心病,高血压,1943
高血压,冠心病,1943
高脂血症,冠心病,1861
冠心病,高脂血症,1861
高脂血症,动脉粥样硬化,1507
动脉粥样硬化,高脂血症,1507
高脂血症,脑血管病,1079
脑血管病,高脂血症,1079
糖尿病,高血压,990
高血压,糖尿病,990
动脉粥样硬化,高血压,868
高血压,动脉粥样硬化,868
高脂血症,糖尿病,823
糖尿病,高脂血症,823
精神和行为障碍,脑血管病,764
脑血管病,精神和行为障碍,764
脑血管病,高血压,720
高血压,脑血管病,720
脑血管病,动脉粥样硬化,610
动脉粥样硬化,脑血管病,610
高脂血症,精神和行为障碍,584
精神和行为障碍,高脂血症,584
高血压,精神和行为障碍,561
精神和行为障碍,高血压,561
冠心病,糖尿病,514
糖尿病,冠心病,514
高血压,代谢紊乱,432
代谢紊乱,高血压,432
代谢紊乱,高脂血症,414
高脂血症,代谢紊乱,414
冠心病,脑血管病,404
脑血管病,冠心病,404
动脉粥样硬化,糖尿病,382
糖尿病,动脉粥样硬化,382
冠心病,动脉粥样硬化,351
动脉粥样硬化,冠心病,351
冠心病,精神和行为障碍,350
精神和行为障碍,冠心病,350
骨质疏松症,糖尿病,293
糖尿病,骨质疏松症,293
冠心病,心律失常,287
心律失常,冠心病,287
脑血管病,头晕,279
头晕,脑血管病,279
精神和行为障碍,动脉粥样硬化,276
动脉粥样硬化,精神和行为障碍,276
支气管炎,呼吸道感染,264
呼吸道感染,支气管炎,264
高血压,心律失常,252
心律失常,高血压,252
代谢紊乱,冠心病,246
冠心病,代谢紊乱,246
糖尿病,脑血管病,243
脑血管病,糖尿病,243
骨质疏松症,高脂血症,239
高脂血症,骨质疏松症,239
骨质疏松症,高血压,236
高血压,骨质疏松症,236
心律失常,高脂血症,233
高脂血症,心律失常,233
胃炎,食管炎,223
食管炎,胃炎,223
动脉硬化,高脂血症,219
高脂血症,动脉硬化,219
精神和行为障碍,糖尿病,216
糖尿病,精神和行为障碍,216
头晕,高脂血症,212
高脂血症,头晕,212
骨质疏松症,关节炎,189
关节炎,骨质疏松症,189
糖尿病,代谢紊乱,186
代谢紊乱,糖尿病,186
低血糖症,糖尿病,182
糖尿病,低血糖症,182
高血压,头晕,175
胃炎,消化不良,175
头晕,高血压,175
消化不良,胃炎,175
头晕,精神和行为障碍,173
精神和行为障碍,头晕,173
代谢紊乱,动脉粥样硬化,167
动脉粥样硬化,代谢紊乱,167
代谢紊乱,脑血管病,164
脑血管病,代谢紊乱,164
支气管炎,高血压,161
高血压,支气管炎,161
骨质疏松症,冠心病,149
冠心病,骨质疏松症,149
动脉硬化,糖尿病,147
糖尿病,动脉硬化,147
脑血管病,周围神经病,145
周围神经病,脑血管病,145
干眼症,结膜炎,135
高血压,便秘,135
结膜炎,干眼症,135
便秘,高血压,135
冠心病,支气管炎,131
支气管炎,冠心病,131
发热,呼吸道感染,130
呼吸道感染,咽炎,130
呼吸道感染,发热,130
咽炎,呼吸道感染,130
高脂血症,便秘,127
便秘,高脂血症,127
消化性溃疡,胃炎,126
糖尿病,支气管炎,126
支气管炎,糖尿病,126
胃炎,消化性溃疡,126
糖尿病,便秘,120
便秘,糖尿病,120
动脉粥样硬化,骨质疏松症,119
叶酸缺乏,高脂血症,119
高脂血症,叶酸缺乏,119
骨质疏松症,动脉粥样硬化,119
周围神经病,高脂血症,115
高脂血症,周围神经病,115
冠心病,便秘,114
便秘,冠心病,114
高脂血症,支气管炎,113
支气管炎,高脂血症,113
动脉粥样硬化,头晕,111
头晕,动脉粥样硬化,111
动脉硬化,高血压,111
高血压,动脉硬化,111
肾功能不全,高血压,111
高血压,肾功能不全,111
胸闷,高血压,110
高血压,胸闷,110
代谢紊乱,肾功能不全,109
肾功能不全,代谢紊乱,109
PCI术后,冠心病,108
冠心病,PCI术后,108
叶酸缺乏,脑血管病,107
脑血管病,叶酸缺乏,107
脑血管病,骨质疏松症,103
骨质疏松症,脑血管病,103
高血压,呼吸道感染,102
呼吸道感染,高血压,102
尿路感染,前列腺增生,95
冠心病,呼吸道感染,95
前列腺增生,尿路感染,95
呼吸道感染,冠心病,95
高血压,低血糖症,94
低血糖症,高血压,94
精神和行为障碍,便秘,93
前列腺增生,高血压,93
高血压,前列腺增生,93
便秘,精神和行为障碍,93
消化不良,食管炎,91
支气管炎,咽炎,91
食管炎,消化不良,91
咽炎,支气管炎,91
周围神经病,精神和行为障碍,86
糖尿病,呼吸道感染,86
PCI术后,高脂血症,86
腰椎退行性病变,关节炎,86
高脂血症,PCI术后,86
关节炎,腰椎退行性病变,86
呼吸道感染,糖尿病,86
精神和行为障碍,周围神经病,86
维生素缺乏,脑血管病,84
前列腺增生,冠心病,84
脑血管病,维生素缺乏,84
维生素缺乏,高脂血症,84
冠心病,前列腺增生,84
高脂血症,维生素缺乏,84
精神和行为障碍,骨质疏松症,78
骨质疏松症,精神和行为障碍,78
糖尿病,肾小球疾病,78
代谢紊乱,精神和行为障碍,78
肾小球疾病,糖尿病,78
精神和行为障碍,代谢紊乱,78
头痛,精神和行为障碍,78
精神和行为障碍,头痛,78
支气管炎,肾功能不全,75
胸闷,高脂血症,75
肾功能不全,支气管炎,75
动脉硬化,冠心病,75
高脂血症,胸闷,75
冠心病,动脉硬化,75
动脉粥样硬化,周围神经病,73
周围神经病,动脉粥样硬化,73
消化不良,腹胀,73
叶酸缺乏,代谢紊乱,73
代谢紊乱,叶酸缺乏,73
腹胀,消化不良,73
高脂血症,呼吸道感染,72
精神和行为障碍,维生素缺乏,72
腹胀,胃炎,72
维生素缺乏,精神和行为障碍,72
呼吸道感染,高脂血症,72
胃炎,腹胀,72
帕金森病,精神和行为障碍,71
精神和行为障碍,帕金森病,71
食管炎,消化性溃疡,71
头痛,脑血管病,71
脑血管病,头痛,71
便秘,脑血管病,71
