source,source_type,target,target_type,weight
头晕,0,脑血管病,1,282
头晕,0,精神和行为障碍,1,232
头晕,0,高脂血症,1,215
头晕,0,高血压,1,182
消化不良,0,胃炎,1,175
便秘,0,糖尿病,1,139
便秘,0,高血压,1,138
发热,0,呼吸道感染,1,133
便秘,0,高脂血症,1,127
便秘,0,精神和行为障碍,1,126
便秘,0,冠心病,1,120
头痛,0,精神和行为障碍,1,112
头晕,0,动脉粥样硬化,1,112
胸闷,0,高血压,1,111
消化不良,0,食管炎,1,91
腹胀,0,胃炎,1,76
便秘,0,脑血管病,1,76
消化不良,0,腹胀,0,75
腹胀,0,消化不良,0,75
胸闷,0,高脂血症,1,75
头痛,0,脑血管病,1,73
头晕,0,冠心病,1,68
静脉曲张,0,糖尿病,1,67
消化不良,0,肠道菌群失调,1,61
胸闷,0,冠心病,1,59
便秘,0,动脉粥样硬化,1,57
便秘,0,胃炎,1,57
胸闷,0,糖尿病,1,55
头痛,0,高脂血症,1,53
胸闷,0,血瘀证,1,49
关节痛,0,糖尿病,1,49
头晕,0,糖尿病,1,48
消化不良,0,胃肠功能紊乱,1,48
便秘,0,消化不良,0,47
胸闷,0,心律失常,1,47
消化不良,0,便秘,0,47
头痛,0,高血压,1,46
咳嗽,0,呼吸道感染,1,44
便秘,0,支气管炎,1,43
腹胀,0,食管炎,1,43
消化不良,0,消化性溃疡,1,43
胸痛,0,高血压,1,39
便秘,0,骨质疏松症,1,39
便秘,0,肠道菌群失调,1,39
头晕,0,头痛,0,37
关节痛,0,高血压,1,37
头痛,0,头晕,0,37
关节痛,0,骨质疏松症,1,36
发热,0,肺部感染,1,35
消化不良,0,冠心病,1,35
水肿,0,高血压,1,34
头晕,0,胸闷,0,34
便秘,0,呼吸道感染,1,34
胸闷,0,头晕,0,34
头晕,0,心律失常,1,34
便秘,0,食管炎,1,33
头晕,0,血瘀证,1,33
腹痛,0,胃炎,1,32
胸闷,0,动脉粥样硬化,1,32
静脉曲张,0,高血压,1,31
眩晕,0,高血压,1,31
胸痛,0,高脂血症,1,31
胸闷,0,精神和行为障碍,1,31
水肿,0,糖尿病,1,30
胸痛,0,冠心病,1,28
消化不良,0,高血压,1,28
静脉曲张,0,冠心病,1,28
腰痛,0,糖尿病,1,28
眩晕,0,脑血管病,1,27
便秘,0,代谢紊乱,1,26
静脉曲张,0,高脂血症,1,26
水肿,0,代谢紊乱,1,25
便秘,0,帕金森病,1,25
腹胀,0,肠道菌群失调,1,25
眩晕,0,冠心病,1,25
头痛,0,动脉粥样硬化,1,25
消化不良,0,精神和行为障碍,1,24
头晕,0,维生素缺乏,1,23
静脉曲张,0,脑血管病,1,23
腰痛,0,高血压,1,23
消化不良,0,肝损害,1,23
头晕,0,代谢紊乱,1,22
消化不良,0,高脂血症,1,22
眩晕,0,高脂血症,1,21
咳嗽,0,支气管炎,1,21
水肿,0,高脂血症,1,20
静脉曲张,0,骨质疏松症,1,20
腰痛,0,颈椎退行性疾病,1,20
关节痛,0,高脂血症,1,19
关节痛,0,血瘀证,1,19
腹胀,0,消化性溃疡,1,19
腰痛,0,高脂血症,1,19
腹胀,0,胃肠功能紊乱,1,18
咳嗽,0,咽炎,1,17
静脉曲张,0,关节炎,1,17
关节痛,0,支气管炎,1,17
便秘,0,尿路感染,1,17
关节痛,0,关节炎,1,17
头痛,0,呼吸道感染,1,16
发热,0,咳嗽,0,16
胸闷,0,脑血管病,1,16
腹胀,0,便秘,0,16
咳嗽,0,发热,0,16
静脉曲张,0,精神和行为障碍,1,16
便秘,0,甲状腺功能减退症,1,16
便秘,0,腹胀,0,16
头痛,0,冠心病,1,16
腰痛,0,骨质疏松症,1,15
胸闷,0,支气管炎,1,15
头晕,0,周围神经病,1,15
便秘,0,消化性溃疡,1,15
腹痛,0,肠道菌群失调,1,15
消化不良,0,糖尿病,1,15
静脉曲张,0,支气管炎,1,14
腰痛,0,关节痛,0,14
胸痛,0,动脉粥样硬化,1,14
水肿,0,冠心病,1,14
腰痛,0,冠心病,1,14
关节痛,0,精神和行为障碍,1,14
关节痛,0,腰痛,0,14
头痛,0,周围神经病,1,14
水肿,0,精神和行为障碍,1,14
关节痛,0,呼吸道感染,1,14
咳嗽,0,鼻炎,1,13
便秘,0,低血糖症,1,13
水肿,0,骨质疏松症,1,13
关节痛,0,冠心病,1,13
腹痛,0,消化不良,0,13
头晕,0,叶酸缺乏,1,13
眩晕,0,精神和行为障碍,1,13
腹痛,0,胃肠功能紊乱,1,13
腰痛,0,关节炎,1,13
消化不良,0,腹痛,0,13
便秘,0,胃肠功能紊乱,1,13
头晕,0,骨质疏松症,1,12
静脉曲张,0,水肿,0,12
便秘,0,周围神经病,1,12
便秘,0,心律失常,1,12
腹痛,0,消化性溃疡,1,12
水肿,0,静脉曲张,0,12
腰痛,0,脑血管病,1,11
眩晕,0,糖尿病,1,11
头晕,0,脑动脉硬化,1,11
腹痛,0,食管炎,1,11
胸闷,0,呼吸道感染,1,11
便秘,0,前列腺增生,1,11
便秘,0,癌症,1,11
眩晕,0,关节炎,1,10
咳嗽,0,冠心病,1,10
眩晕,0,代谢紊乱,1,10
头晕,0,动脉硬化,1,10
胸痛,0,胸闷,0,10
胸闷,0,胸痛,0,10
水肿,0,低血糖症,1,10
静脉曲张,0,代谢紊乱,1,10
关节痛,0,脑血管病,1,10
胸闷,0,骨质疏松症,1,10
咳嗽,0,高脂血症,1,10
静脉曲张,0,动脉粥样硬化,1,10
便秘,0,咽炎,1,9
静脉曲张,0,胃炎,1,9
头痛,0,糖尿病,1,9
便秘,0,关节炎,1,9
便秘,0,头晕,0,9
关节痛,0,胃炎,1,9
腰痛,0,代谢紊乱,1,9
消化不良,0,骨质疏松症,1,9
胸痛,0,心律失常,1,9
水肿,0,脑血管病,1,9
头晕,0,便秘,0,9
静脉曲张,0,便秘,0,9
静脉曲张,0,呼吸道感染,1,9
消化不良,0,心律失常,1,9
便秘,0,静脉曲张,0,9
消化不良,0,呼吸道感染,1,9
咳嗽,0,高血压,1,9
眩晕,0,动脉粥样硬化,1,9
便秘,0,动脉硬化,1,9
关节痛,0,便秘,0,8
胸闷,0,关节痛,0,8
胸痛,0,脑血管病,1,8
关节痛,0,动脉粥样硬化,1,8
腹胀,0,肝损害,1,8
便秘,0,鼻炎,1,8
便秘,0,癫痫,1,8
关节痛,0,胸闷,0,8
头晕,0,神经官能症,1,8
便秘,0,维生素缺乏,1,8
便秘,0,肾小球疾病,1,8
静脉曲张,0,前列腺增生,1,8
头晕,0,颈椎退行性疾病,1,8
头晕,0,脑卒中,1,8
胸痛,0,代谢紊乱,1,8
消化不良,0,关节炎,1,8
便秘,0,关节痛,0,8
水肿,0,关节炎,1,7
消化不良,0,前列腺增生,1,7
消化不良,0,慢性阻塞性肺疾病,1,7
头晕,0,肝功能异常,1,7
咳嗽,0,精神和行为障碍,1,7
头痛,0,维生素缺乏,1,7
水肿,0,软组织感染,1,7
腹痛,0,胆道结石,1,7
消化不良,0,鼻炎,1,7
水肿,0,腰痛,0,7
头痛,0,神经痛,1,7
便秘,0,叶酸缺乏,1,7
腰痛,0,水肿,0,7
头痛,0,脑动脉硬化,1,7
静脉曲张,0,周围神经病,1,7
腰痛,0,呼吸道感染,1,7
腰痛,0,动脉粥样硬化,1,7
咳嗽,0,脑血管病,1,6
消化不良,0,支气管炎,1,6
腹痛,0,高血压,1,6
头晕,0,低血糖症,1,6
咳嗽,0,肺部感染,1,6
眩晕,0,消化性溃疡,1,6
消化不良,0,维生素缺乏,1,6
水肿,0,胃炎,1,6
头晕,0,帕金森病,1,6
咳嗽,0,胸闷,0,6
消化不良,0,胆道结石,1,6
胸闷,0,眩晕,0,6
便秘,0,贫血,1,6
水肿,0,结膜炎,1,6
胸闷,0,咳嗽,0,6
消化不良,0,肾功能不全,1,6
消化不良,0,动脉粥样硬化,1,6
便秘,0,腹痛,0,6
头痛,0,颈椎退行性疾病,1,6
关节痛,0,动脉硬化,1,6
静脉曲张,0,动脉硬化,1,6
眩晕,0,周围神经病,1,6
头痛,0,神经官能症,1,6
静脉曲张,0,支气管哮喘,1,6
腹痛,0,便秘,0,6
腹痛,0,高脂血症,1,6
眩晕,0,胸闷,0,6
胸闷,0,咽炎,1,5
水肿,0,支气管炎,1,5
腰痛,0,腰椎退行性病变,1,5
便秘,0,支气管哮喘,1,5
关节痛,0,周围神经病,1,5
胸痛,0,呼吸道感染,1,5
便秘,0,头痛,0,5
头痛,0,癫痫,1,5
眩晕,0,咽炎,1,5
胸痛,0,支气管炎,1,5
消化不良,0,代谢紊乱,1,5
头痛,0,叶酸缺乏,1,5
眩晕,0,骨质疏松症,1,5
头痛,0,心律失常,1,5
关节痛,0,代谢紊乱,1,5
头痛,0,便秘,0,5
腹痛,0,冠心病,1,5
消化不良,0,脑血管病,1,5
胸闷,0,动脉硬化,1,5
胸闷,0,代谢紊乱,1,5
胸痛,0,精神和行为障碍,1,4
胸痛,0,糖尿病,1,4
腰痛,0,尿路感染,1,4
静脉曲张,0,低血糖症,1,4
水肿,0,便秘,0,4
水肿,0,贫血,1,4
发热,0,支气管炎,1,4
腰痛,0,周围神经病,1,4
便秘,0,水肿,0,4
腰痛,0,食管炎,1,4
关节痛,0,消化性溃疡,1,4
胸痛,0,咳嗽,0,4
关节痛,0,心律失常,1,4
消化不良,0,甲状腺功能减退症,1,4
水肿,0,周围神经病,1,4
便秘,0,肾功能不全,1,4
咳嗽,0,胃炎,1,4
水肿,0,尿路感染,1,4
便秘,0,胸闷,0,4
关节痛,0,甲状腺功能减退症,1,4
咳嗽,0,血瘀证,1,4
便秘,0,肿瘤标记物升高,1,4
关节痛,0,维生素缺乏,1,4
关节痛,0,贫血,1,4
头晕,0,癫痫,1,4
便秘,0,干眼症,1,4
关节痛,0,头晕,0,4
便秘,0,白内障,1,4
胸闷,0,便秘,0,4
头痛,0,支气管炎,1,4
水肿,0,颈椎退行性疾病,1,4
腹痛,0,糖尿病,1,4
