source,source_type,target,target_type,weight
高血压,1,高脂血症,1,21881
高脂血症,1,高血压,1,21881
冠心病,1,高血压,1,20282
高血压,1,冠心病,1,20282
冠心病,1,高脂血症,1,19894
高脂血症,1,冠心病,1,19894
动脉粥样硬化,1,高脂血症,1,12476
高脂血症,1,动脉粥样硬化,1,12476
脑血管病,1,高脂血症,1,11778
高脂血症,1,脑血管病,1,11778
糖尿病,1,高血压,1,10717
高血压,1,糖尿病,1,10717
脑血管病,1,精神和行为障碍,1,9292
精神和行为障碍,1,脑血管病,1,9292
高脂血症,1,糖尿病,1,8671
糖尿病,1,高脂血症,1,8671
脑血管病,1,高血压,1,8576
高血压,1,脑血管病,1,8576
冠心病,1,糖尿病,1,7305
糖尿病,1,冠心病,1,7305
动脉粥样硬化,1,高血压,1,6762
高血压,1,动脉粥样硬化,1,6762
脑血管病,1,动脉粥样硬化,1,6239
动脉粥样硬化,1,脑血管病,1,6239
高血压,1,精神和行为障碍,1,5771
精神和行为障碍,1,高血压,1,5771
精神和行为障碍,1,高脂血症,1,5582
高脂血症,1,精神和行为障碍,1,5582
脑血管病,1,冠心病,1,5431
冠心病,1,脑血管病,1,5431
冠心病,1,动脉粥样硬化,1,4261
动脉粥样硬化,1,冠心病,1,4261
糖尿病,1,动脉粥样硬化,1,4029
动脉粥样硬化,1,糖尿病,1,4029
冠心病,1,精神和行为障碍,1,3747
精神和行为障碍,1,冠心病,1,3747
糖尿病,1,骨质疏松症,1,3717
骨质疏松症,1,糖尿病,1,3717
糖尿病,1,脑血管病,1,3485
脑血管病,1,糖尿病,1,3485
高血压,1,骨质疏松症,1,2992
骨质疏松症,1,高血压,1,2992
高血压,1,代谢紊乱,1,2980
代谢紊乱,1,高血压,1,2980
代谢紊乱,1,高脂血症,1,2952
高脂血症,1,代谢紊乱,1,2952
骨质疏松症,1,高脂血症,1,2722
高脂血症,1,骨质疏松症,1,2722
冠心病,1,心律失常,1,2703
心律失常,1,冠心病,1,2703
高血压,1,心律失常,1,2698
心律失常,1,高血压,1,2698
动脉粥样硬化,1,精神和行为障碍,1,2622
精神和行为障碍,1,动脉粥样硬化,1,2622
冠心病,1,骨质疏松症,1,2414
骨质疏松症,1,冠心病,1,2414
呼吸道感染,1,支气管炎,1,2317
支气管炎,1,呼吸道感染,1,2317
糖尿病,1,精神和行为障碍,1,2152
精神和行为障碍,1,糖尿病,1,2152
代谢紊乱,1,冠心病,1,2024
冠心病,1,代谢紊乱,1,2024
关节炎,1,骨质疏松症,1,2017
骨质疏松症,1,关节炎,1,2017
高血压,1,支气管炎,1,1938
支气管炎,1,高血压,1,1938
低血糖症,1,糖尿病,1,1805
糖尿病,1,低血糖症,1,1805
高脂血症,1,动脉硬化,1,1788
动脉硬化,1,高脂血症,1,1788
糖尿病,1,肾小球疾病,1,1762
肾小球疾病,1,糖尿病,1,1762
糖尿病,1,支气管炎,1,1760
支气管炎,1,糖尿病,1,1760
心律失常,1,高脂血症,1,1759
高脂血症,1,心律失常,1,1759
神经官能症,1,精神和行为障碍,1,1697
精神和行为障碍,1,神经官能症,1,1697
支气管炎,1,冠心病,1,1664
冠心病,1,支气管炎,1,1664
胃炎,1,食管炎,1,1570
食管炎,1,胃炎,1,1570
脑血管病,1,代谢紊乱,1,1477
代谢紊乱,1,脑血管病,1,1477
糖尿病,1,代谢紊乱,1,1472
代谢紊乱,1,糖尿病,1,1472
脑血管病,1,骨质疏松症,1,1346
骨质疏松症,1,脑血管病,1,1346
糖尿病,1,动脉硬化,1,1331
动脉硬化,1,糖尿病,1,1331
脑血管病,1,周围神经病,1,1302
周围神经病,1,脑血管病,1,1302
支气管炎,1,高脂血症,1,1275
高脂血症,1,支气管炎,1,1275
呼吸道感染,1,高血压,1,1233
高血压,1,呼吸道感染,1,1233
糖尿病,1,呼吸道感染,1,1226
呼吸道感染,1,糖尿病,1,1226
脑血管病,1,神经官能症,1,1215
神经官能症,1,脑血管病,1,1215
动脉粥样硬化,1,骨质疏松症,1,1205
骨质疏松症,1,动脉粥样硬化,1,1205
代谢紊乱,1,动脉粥样硬化,1,1118
动脉粥样硬化,1,代谢紊乱,1,1118
结膜炎,1,干眼症,1,1104
