source,source_type,target,target_type,weight
高脂血症,1,高血压,1,21712
高血压,1,高脂血症,1,21712
冠心病,1,高血压,1,20000
高血压,1,冠心病,1,20000
冠心病,1,高脂血症,1,19617
高脂血症,1,冠心病,1,19617
动脉粥样硬化,1,高脂血症,1,12334
高脂血症,1,动脉粥样硬化,1,12334
脑血管病,1,高脂血症,1,11444
高脂血症,1,脑血管病,1,11444
高血压,1,糖尿病,1,8781
糖尿病,1,高血压,1,8781
脑血管病,1,高血压,1,8318
高血压,1,脑血管病,1,8318
糖尿病,1,高脂血症,1,7139
高脂血症,1,糖尿病,1,7139
精神和行为障碍,1,脑血管病,1,7108
脑血管病,1,精神和行为障碍,1,7108
动脉粥样硬化,1,高血压,1,6709
高血压,1,动脉粥样硬化,1,6709
脑血管病,1,动脉粥样硬化,1,6031
动脉粥样硬化,1,脑血管病,1,6031
冠心病,1,糖尿病,1,5935
糖尿病,1,冠心病,1,5935
冠心病,1,脑血管病,1,5258
脑血管病,1,冠心病,1,5258
精神和行为障碍,1,高血压,1,5184
高血压,1,精神和行为障碍,1,5184
精神和行为障碍,1,高脂血症,1,4912
高脂血症,1,精神和行为障碍,1,4912
动脉粥样硬化,1,冠心病,1,4203
冠心病,1,动脉粥样硬化,1,4203
精神和行为障碍,1,冠心病,1,3468
冠心病,1,精神和行为障碍,1,3468
动脉粥样硬化,1,糖尿病,1,3269
糖尿病,1,动脉粥样硬化,1,3269
高血压,1,骨质疏松症,1,2932
骨质疏松症,1,高血压,1,2932
糖尿病,1,脑血管病,1,2821
脑血管病,1,糖尿病,1,2821
代谢紊乱,1,高血压,1,2805
高血压,1,代谢紊乱,1,2805
代谢紊乱,1,高脂血症,1,2770
高脂血症,1,代谢紊乱,1,2770
糖尿病,1,骨质疏松症,1,2727
骨质疏松症,1,糖尿病,1,2727
骨质疏松症,1,高脂血症,1,2654
高脂血症,1,骨质疏松症,1,2654
高血压,1,心律失常,1,2645
心律失常,1,高血压,1,2645
冠心病,1,心律失常,1,2640
心律失常,1,冠心病,1,2640
骨质疏松症,1,冠心病,1,2349
冠心病,1,骨质疏松症,1,2349
精神和行为障碍,1,动脉粥样硬化,1,2163
动脉粥样硬化,1,精神和行为障碍,1,2163
支气管炎,1,呼吸道感染,1,1905
呼吸道感染,1,支气管炎,1,1905
冠心病,1,代谢紊乱,1,1895
代谢紊乱,1,冠心病,1,1895
高血压,1,支气管炎,1,1890
支气管炎,1,高血压,1,1890
关节炎,1,骨质疏松症,1,1888
骨质疏松症,1,关节炎,1,1888
动脉硬化,1,高脂血症,1,1775
高脂血症,1,动脉硬化,1,1775
心律失常,1,高脂血症,1,1729
高脂血症,1,心律失常,1,1729
精神和行为障碍,1,糖尿病,1,1704
糖尿病,1,精神和行为障碍,1,1704
冠心病,1,支气管炎,1,1596
支气管炎,1,冠心病,1,1596
胃炎,1,食管炎,1,1555
食管炎,1,胃炎,1,1555
糖尿病,1,支气管炎,1,1408
支气管炎,1,糖尿病,1,1408
糖尿病,1,低血糖症,1,1394
低血糖症,1,糖尿病,1,1394
脑血管病,1,代谢紊乱,1,1388
代谢紊乱,1,脑血管病,1,1388
肾小球疾病,1,糖尿病,1,1318
糖尿病,1,肾小球疾病,1,1318
骨质疏松症,1,脑血管病,1,1301
脑血管病,1,骨质疏松症,1,1301
周围神经病,1,脑血管病,1,1255
脑血管病,1,周围神经病,1,1255
支气管炎,1,高脂血症,1,1234
高脂血症,1,支气管炎,1,1234
精神和行为障碍,1,神经官能症,1,1209
神经官能症,1,精神和行为障碍,1,1209
呼吸道感染,1,高血压,1,1195
高血压,1,呼吸道感染,1,1195
糖尿病,1,代谢紊乱,1,1188
代谢紊乱,1,糖尿病,1,1188
神经官能症,1,脑血管病,1,1179
脑血管病,1,神经官能症,1,1179
骨质疏松症,1,动脉粥样硬化,1,1171
动脉粥样硬化,1,骨质疏松症,1,1171
糖尿病,1,动脉硬化,1,1100
动脉硬化,1,糖尿病,1,1100
代谢紊乱,1,动脉粥样硬化,1,1066
动脉粥样硬化,1,代谢紊乱,1,1066
干眼症,1,结膜炎,1,1060
结膜炎,1,干眼症,1,1060
冠心病,1,呼吸道感染,1,1030
呼吸道感染,1,冠心病,1,1030
动脉硬化,1,高血压,1,1012
高血压,1,动脉硬化,1,1012
