days,class_name,stan_order,color,amount1,amount2,amount3,,,,,,,,,,,,,,,
1,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
1,护理,护理等级,,,,,,,,,,,,,,,,,,,
1,护理,陪护,,,,,,,,,,,,,,,,,,,
1,处置,吸氧,,,,,,,,,,,,,,,,,,,
1,处置,心电监护,,,,,,,,,,,,,,,,,,,
1,处置,卧床,,,,,,,,,,,,,,,,,,,
1,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
1,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
1,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
1,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
1,检验,血常规+CRP,,,,,,,,,,,,,,,,,,,
1,检验,尿常规,,,,,,,,,,,,,,,,,,,
1,检验,便常规,,,,,,,,,,,,,,,,,,,
1,检验,血沉,,,,,,,,,,,,,,,,,,,
1,检验,生化,,,,,,,,,,,,,,,,,,,
1,检验,病原学检查,,,,,,,,,,,,,,,,,,,
1,检查,胸片,,,,,,,,,,,,,,,,,,,
1,检查,心电图,,,,,,,,,,,,,,,,,,,
1,检查,胸部CT,,,,,,,,,,,,,,,,,,,
1,检查,传染性疾病,,,,,,,,,,,,,,,,,,,
2,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
2,护理,护理等级,,,,,,,,,,,,,,,,,,,
2,护理,陪护,,,,,,,,,,,,,,,,,,,
2,处置,吸氧,,,,,,,,,,,,,,,,,,,
2,处置,心电监护,,,,,,,,,,,,,,,,,,,
2,处置,卧床,,,,,,,,,,,,,,,,,,,
2,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
2,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
2,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
2,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
2,检验,D-二聚体,,,,,,,,,,,,,,,,,,,
2,检验,血培养,,,,,,,,,,,,,,,,,,,
2,检验,血气分析,,,,,,,,,,,,,,,,,,,
2,检验,胸部CT,,,,,,,,,,,,,,,,,,,
2,检验,血氧饱和度,,,,,,,,,,,,,,,,,,,
2,检查,超声,,,,,,,,,,,,,,,,,,,
3,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
3,护理,护理等级,,,,,,,,,,,,,,,,,,,
3,护理,陪护,,,,,,,,,,,,,,,,,,,
3,处置,吸氧,,,,,,,,,,,,,,,,,,,
3,处置,心电监护,,,,,,,,,,,,,,,,,,,
3,处置,卧床,,,,,,,,,,,,,,,,,,,
3,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
3,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
3,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
3,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
4,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
4,护理,护理等级,,,,,,,,,,,,,,,,,,,
4,处置,吸氧,,,,,,,,,,,,,,,,,,,
4,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
4,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
4,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
4,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
4,检验,血常规,,,,,,,,,,,,,,,,,,,
4,检查,胸片,,,,,,,,,,,,,,,,,,,
5,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
