days,class_name,stan_order,color,amount1,amount2,amount3
1,护理,按呼吸护理常规,,23,23,23
1,护理,护理等级,,23,23,21
1,处置,吸氧,,23,23,16
1,处置,吸痰,red,23,23,5
1,处置,雾化,red,23,23,3
1,护理,陪护,,23,23,2
1,药物,抗菌药物,,23,22,17
1,药物,祛痰剂,,23,22,13
1,药物,解痉平喘,red,23,22,5
1,检验,尿常规,,23,12,5
1,检验,生化,,23,12,5
1,检验,血常规+CRP,,23,12,5
1,检验,便常规,,23,12,4
1,检查,心电图,,23,6,6
1,检查,胸片,,23,6,1
2,处置,吸氧,,24,24,3
2,药物,抗菌药物,,24,20,9
2,药物,祛痰剂,,24,20,4
2,药物,解痉平喘,red,24,20,2
2,检验,D-二聚体,,24,19,6
2,检验,降钙素原,red,24,19,6
2,检验,血气分析,,24,19,5
2,检验,血培养,,24,19,2
2,检查,超声,,24,10,1
2,护理,按呼吸护理常规,,24,2,2
2,护理,护理等级,,24,2,1
3,处置,吸氧,,24,22,2
3,药物,抗菌药物,,24,18,4
3,药物,解痉平喘,red,24,18,1
3,药物,祛痰剂,,24,18,1
3,护理,护理等级,,24,2,1
4,药物,抗菌药物,,22,16,2
4,药物,祛痰剂,,22,16,2
4,药物,解痉平喘,red,22,16,1
4,处置,吸氧,,22,14,3
4,检验,血常规,,22,10,1
5,处置,吸氧,,23,16,3
5,药物,祛痰剂,,23,13,2
5,药物,抗菌药物,,23,13,1
5,护理,按呼吸护理常规,,23,1,1
6,处置,吸氧,,21,16,1
6,药物,抗菌药物,,21,14,1
6,药物,祛痰剂,,21,14,1
6,药物,解痉平喘,red,21,14,1
7,处置,吸氧,,19,12,3
7,药物,抗菌药物,,19,12,2
7,药物,祛痰剂,,19,12,1
7,药物,解痉平喘,red,19,12,1
8,处置,吸氧,,17,12,1
8,药物,祛痰剂,,17,12,1
9,处置,吸氧,,22,15,2
10,药物,祛痰剂,,20,14,2
10,处置,吸氧,,20,14,1
11,药物,祛痰剂,,14,9,2
11,药物,抗菌药物,,14,9,1
11,药物,解痉平喘,red,14,9,1
12,药物,祛痰剂,,16,13,2
12,药物,抗菌药物,,16,13,1
12,药物,解痉平喘,red,16,13,1
12,护理,护理等级,,16,1,1
13,处置,吸氧,,16,13,2
13,药物,抗菌药物,,16,9,1
14,药物,抗菌药物,,17,12,5
14,药物,祛痰剂,,17,12,1
